SERIALNUMBER	BOTTOM	COVERLAY	DIELECTRIC	INNER	ALL
20UPGPQ4611204	35.20	94.70	84.30	8.50	230.50	31.40
20UPGPQ4611205	33.70	94.20	85.30	9.50	227.50	29.90
20UPGPQ4611206	30.70	92.20	84.80	11.00	225.00	27.90
20UPGPQ4611208	33.20	94.70	84.30	10.50	228.50	30.40
20UPGPQ4611209	31.70	93.20	84.30	11.00	227.50	30.40
20UPGPQ4611210	31.70	91.70	86.80	8.50	225.50	28.90
20UPGPQ4611211	32.20	95.70	84.80	10.50	226.00	30.90
20UPGPQ4611212	32.70	94.70	84.80	9.50	229.00	30.90
20UPGPQ4611213	34.20	93.70	84.80	10.00	229.00	31.90
20UPGPQ4611216	32.70	93.70	84.80	10.00	230.50	30.90
20UPGPQ4611217	32.70	92.70	85.30	9.50	228.50	29.90
20UPGPQ4611218	30.70	93.20	83.80	10.00	223.00	28.90
20UPGPQ4611219	30.70	92.20	84.80	10.00	225.00	28.40
20UPGPQ4611220	31.70	92.70	84.30	10.50	227.00	30.40
20UPGPQ4611221	33.20	92.70	84.80	10.50	231.00	32.90
20UPGPQ4611222	31.20	92.70	84.30	10.00	226.00	30.40
20UPGPQ4611223	31.70	93.20	84.30	10.00	226.50	30.40
20UPGPQ4611224	33.20	90.70	84.80	10.00	230.50	30.90
20UPGPQ4611225	35.20	92.20	85.30	10.50	235.00	32.40
20UPGPQ4611226	33.70	93.20	84.80	9.50	231.50	31.40
20UPGPQ4611227	32.70	91.70	85.30	9.50	232.50	30.90
20UPGPQ4611228	34.70	92.70	84.30	10.00	234.50	32.90
20UPGPQ4611229	33.70	92.70	84.30	8.50	227.50	29.90
20UPGPQ4611230	32.70	89.70	84.30	8.50	225.00	28.90
20UPGPQ4611231	29.70	91.70	84.30	10.50	224.50	29.40
20UPGPQ4611232	31.70	90.20	82.80	10.00	223.50	29.90
20UPGPQ4611233	32.70	90.20	85.30	10.00	229.50	30.90
20UPGPQ4611234	31.70	90.20	84.80	9.50	227.00	29.90
20UPGPQ4611235	32.20	90.20	84.30	10.00	227.00	30.90
20UPGPQ4611236	31.20	89.20	83.30	10.50	226.00	30.40
20UPGPQ4611237	35.70	90.70	84.30	10.00	233.50	32.90
20UPGPQ4611238	32.20	87.70	84.30	10.50	230.50	30.90
20UPGPQ4611239	32.20	91.70	84.30	11.00	230.50	31.90
20UPGPQ4611240	33.20	88.70	83.80	10.00	231.00	31.90
20UPGPQ4611241	34.20	89.70	82.30	11.00	226.00	30.90
20UPGPQ4611242	31.70	87.70	83.30	10.00	225.00	28.90
20UPGPQ4611243	31.70	90.20	82.80	11.00	225.50	28.90
20UPGPQ4611244	32.70	90.20	82.30	11.50	227.00	31.40
20UPGPQ4611245	33.70	89.20	83.80	11.00	228.50	29.90
20UPGPQ4611246	33.20	89.70	84.30	10.00	226.50	28.90
20UPGPQ4611247	32.20	89.20	133.80	10.50	277.00	29.40
20UPGPQ4611248	34.20	88.20	84.30	10.00	230.00	30.90
20UPGPQ4611249	34.70	90.70	84.30	10.00	231.00	31.40
20UPGPQ4611251	32.70	91.20	91.30	11.50	239.50	31.40
20UPGPQ4611252	34.20	89.20	83.80	10.00	232.50	32.40
20UPGPQ4612013	33.20	78.70	84.30	9.00	227.00	26.90
20UPGPQ4612014	32.20	79.20	83.30	10.00	223.50	27.40
20UPGPQ4612015	31.70	76.20	84.30	9.50	226.50	27.90
20UPGPQ4612016	34.20	79.20	82.80	10.50	226.00	29.40
20UPGPQ4612017	34.70	79.70	83.80	10.00	227.50	29.40
20UPGPQ4612019	31.70	79.20	83.80	10.50	225.00	28.40
20UPGPQ4612020	31.70	76.70	83.80	11.00	227.00	28.90
20UPGPQ4612021	32.70	79.70	84.80	10.00	228.00	28.90
20UPGPQ4612022	32.20	79.20	85.80	9.50	225.50	27.40
20UPGPQ4612023	33.20	79.70	84.30	9.50	226.00	28.90
20UPGPQ4612024	33.70	90.20	84.80	10.00	226.50	29.40
20UPGPQ4612025	34.20	89.70	83.80	11.50	229.50	31.90
20UPGPQ4612027	31.20	87.20	82.80	12.50	230.00	30.40
20UPGPQ4612028	32.20	89.20	83.30	11.50	224.50	29.90
20UPGPQ4612029	31.70	88.70	84.80	11.00	228.50	30.40
20UPGPQ4612030	32.20	90.70	82.30	12.00	223.00	29.90
20UPGPQ4612031	32.20	89.20	82.80	10.50	224.00	28.40
20UPGPQ4612032	31.70	90.20	82.30	11.50	224.00	28.90
20UPGPQ4612034	32.70	90.20	84.30	9.50	225.50	27.90
20UPGPQ4612035	31.70	90.70	82.30	11.50	223.00	27.90
20UPGPQ4612036	31.20	90.20	83.80	10.00	224.00	27.40
20UPGPQ4612038	31.20	89.70	84.30	10.50	225.50	28.40
20UPGPQ4612039	31.70	91.20	83.80	10.00	225.50	28.40
20UPGPQ4612040	31.70	88.70	84.80	9.00	225.50	27.40
20UPGPQ4612041	35.20	88.20	85.30	9.00	231.00	30.40
20UPGPQ4612042	31.20	88.20	84.30	11.00	226.00	30.90
20UPGPQ4612044	30.70	86.20	84.30	10.50	226.50	29.90
20UPGPQ4612045	34.20	87.70	84.30	9.50	232.50	31.40
20UPGPQ4612046	33.70	88.70	84.80	10.00	230.00	30.40
20UPGPQ4612047	33.20	91.20	84.30	11.00	228.50	30.40
20UPGPQ4612048	33.20	89.20	84.30	10.50	229.00	30.90
20UPGPQ4612049	33.20	89.20	84.30	11.00	230.50	30.40
20UPGPQ4612051	31.70	88.70	83.80	9.50	226.00	29.40
20UPGPQ4612053	33.70	89.20	84.80	11.50	232.50	33.40
20UPGPQ4612054	31.20	89.20	84.30	11.50	227.00	31.40
20UPGPQ4612056	32.20	90.70	83.80	12.50	228.00	32.90
20UPGPQ4612057	33.70	92.20	81.80	13.50	233.00	35.90
20UPGPQ4612059	31.70	88.70	84.30	10.00	228.00	30.90
20UPGPQ4612063	32.70	89.70	83.80	9.50	224.50	27.40
20UPGPQ4612064	31.70	88.20	85.80	9.00	225.00	26.40
20UPGPQ4612065	35.20	89.20	84.30	9.50	229.50	32.90
20UPGPQ4612066	32.20	90.20	83.80	10.50	225.50	30.90
20UPGPQ4612070	31.20	89.70	85.30	10.50	229.50	31.40
20UPGPQ4612071	33.20	89.70	84.30	10.00	228.50	31.40
20UPGPQ4612073	33.20	87.20	85.30	9.50	230.50	29.90
20UPGPQ4612074	32.70	88.70	84.30	10.50	227.00	30.90
20UPGPQ4612075	33.70	89.70	83.80	10.00	228.00	31.90
20UPGPQ4612076	36.20	89.70	84.80	9.50	232.00	32.90
20UPGPQ4612077	33.20	88.20	84.30	11.00	227.50	32.40
20UPGPQ4612078	32.20	90.20	83.80	10.50	225.50	30.90
20UPGPQ4612079	32.20	90.70	83.30	11.00	228.00	30.40
20UPGPQ4612081	31.70	90.20	83.80	11.00	226.00	29.90
20UPGPQ4612082	32.20	90.70	84.80	9.50	225.00	29.90
20UPGPQ4612083	32.70	88.70	84.80	9.00	225.50	29.40
20UPGPQ4612084	32.70	89.70	85.30	10.50	228.50	29.40
20UPGPQ4612086	33.20	90.20	83.30	11.50	226.50	31.40
20UPGPQ4612088	33.20	90.20	83.80	11.00	227.50	30.40
20UPGPQ4612089	36.20	89.20	83.80	10.50	230.00	32.90
20UPGPQ4612090	34.20	90.20	83.80	10.00	225.50	31.40
20UPGPQ4612091	31.70	88.70	85.30	10.50	226.00	30.40
20UPGPQ4612092	32.70	88.70	83.30	11.00	226.00	31.90
20UPGPQ4612093	32.70	90.70	83.30	12.00	230.00	32.40
20UPGPQ4612094	31.20	89.20	84.80	10.00	226.50	29.40
20UPGPQ4612095	32.70	90.70	84.30	11.00	225.00	30.40
20UPGPQ4612096	32.70	89.70	87.80	10.00	229.50	29.90
20UPGPQ4612097	33.20	91.20	83.80	11.00	230.00	30.90
20UPGPQ4612098	30.70	89.70	83.80	11.50	227.00	29.90
20UPGPQ4612099	32.70	89.70	86.80	10.00	228.00	29.40
20UPGPQ4612103	32.20	89.70	84.30	11.50	226.00	29.90
20UPGPQ4612104	31.70	91.70	82.30	12.50	226.50	31.40
20UPGPQ4612105	33.20	90.70	83.80	11.50	230.50	32.40
20UPGPQ4612106	31.20	88.20	84.80	10.50	227.00	29.90
20UPGPQ4612107	31.70	90.20	85.30	10.50	225.50	27.90
20UPGPQ4612108	31.70	89.70	83.30	10.50	225.50	28.90
20UPGPQ4612109	32.70	90.70	82.80	10.50	224.50	28.90
20UPGPQ4612110	31.70	90.70	82.80	11.00	223.00	28.40
20UPGPQ4612111	32.20	90.20	84.30	9.50	223.50	25.90
20UPGPQ4612112	32.70	90.70	84.30	10.50	225.00	27.40
20UPGPQ4612113	32.70	90.70	83.30	11.50	227.00	30.90
20UPGPQ4612114	31.20	90.20	83.30	11.50	224.00	29.90
20UPGPQ4612115	30.20	89.70	87.30	10.50	227.50	28.40
20UPGPQ4612116	33.70	91.70	83.30	10.00	226.00	29.90
20UPGPQ4612118	32.70	91.20	84.80	10.50	229.00	29.90
20UPGPQ4612120	34.70	92.20	84.30	10.50	232.00	30.40
20UPGPQ4612121	32.70	91.70	83.80	11.00	228.00	31.40
20UPGPQ4612123	32.20	91.70	83.80	10.50	226.50	30.90
20UPGPQ4612124	33.70	91.20	83.30	10.00	229.50	32.90
20UPGPQ4612125	33.70	90.20	83.80	11.00	229.00	31.90
20UPGPQ4612126	31.70	90.70	83.30	11.50	226.50	33.40
20UPGPQ4612127	30.70	91.20	84.80	11.00	228.00	31.40
20UPGPQ4612129	34.20	92.20	82.80	11.00	230.00	32.90
20UPGPQ4612130	32.70	51.70	81.30	11.00	225.50	31.40
20UPGPQ4612131	32.20	56.20	82.80	10.00	227.00	30.90
20UPGPQ4612132	32.70	53.70	82.80	10.50	230.00	31.90
20UPGPQ4614014	32.20	81.20	83.30	12.50	227.00	31.90
20UPGPQ4614015	30.70	77.70	84.80	11.50	226.50	31.40
20UPGPQ4614017	32.70	81.20	83.80	12.00	227.50	30.90
20UPGPQ4614018	30.20	80.20	83.80	12.50	225.50	30.90
20UPGPQ4614019	31.70	80.20	83.30	12.50	225.50	30.40
20UPGPQ4614020	33.20	82.20	83.30	11.50	229.00	32.40
20UPGPQ4614021	31.70	81.70	83.30	12.00	226.50	31.90
20UPGPQ4614051	32.20	97.20	84.30	12.50	230.00	33.90
20UPGPQ4614058	31.70	97.20	82.80	13.50	226.00	30.40
20UPGPQ4614059	31.70	96.20	84.30	12.00	225.00	28.90
20UPGPQ4614113	32.20	95.20	84.30	12.00	228.50	32.90
20UPGPQ4614122	29.20	96.20	85.80	11.50	228.50	29.90
20UPGPQ4614171	28.70	96.20	90.80	12.50	233.50	31.40
20UPGPQ4615025	24.70	80.70	77.80	9.50	212.50	28.90
20UPGPQ4615027	35.70	96.70	84.80	12.50	232.00	32.90
20UPGPQ4615029	33.70	98.20	116.30	12.50	261.00	29.90
20UPGPQ4615030	32.20	96.70	84.80	13.00	227.50	30.40
20UPGPQ4615032	34.20	95.70	85.30	12.50	232.50	32.40
20UPGPQ4615037	35.20	94.70	85.30	11.50	233.50	35.40
20UPGPQ4615038	32.20	98.70	85.30	12.00	229.50	31.90
20UPGPQ4615041	31.70	95.20	85.30	13.50	233.00	33.90
20UPGPQ4615042	30.20	99.20	84.30	13.00	227.50	30.90
20UPGPQ4615043	32.20	96.70	85.30	12.00	227.00	30.90
20UPGPQ4615044	31.20	96.70	84.80	12.50	226.50	30.90
20UPGPQ4615045	34.20	95.20	84.30	12.00	231.50	34.40
20UPGPQ4615046	31.20	95.70	85.30	12.00	226.50	29.90
20UPGPQ4615047	32.70	96.20	83.80	11.50	226.00	30.40
20UPGPQ4615049	32.20	97.20	85.80	13.00	233.00	31.90
20UPGPQ4615057	35.20	97.70	84.80	12.50	234.50	35.90
20UPGPQ4615062	31.20	94.20	84.80	13.00	226.00	27.90
20UPGPQ4615073	34.20	95.70	84.30	13.00	230.50	31.90
20UPGPQ4615077	33.70	96.20	86.80	13.00	234.50	31.90
20UPGPQ4615078	32.20	96.70	86.30	11.50	229.50	30.90
20UPGPQ4615081	34.70	96.70	85.80	12.50	235.00	32.40
20UPGPQ4615082	33.20	98.20	84.30	12.50	231.50	31.90
20UPGPQ4615083	34.70	97.20	84.80	10.50	231.00	30.90
20UPGPQ4615084	33.20	96.70	84.30	12.50	230.50	31.90
20UPGPQ4615085	36.20	97.20	84.80	11.50	231.50	32.40
20UPGPQ4615086	33.20	94.70	85.80	12.00	229.50	30.90
20UPGPQ4615090	33.70	96.20	85.80	12.50	229.00	30.90
20UPGPQ4615106	33.70	97.70	84.80	13.00	232.50	31.90
20UPGPQ4615113	32.20	97.20	84.80	14.50	229.50	32.90
20UPGPQ4615245	33.20	95.70	84.80	12.50	232.00	34.40
20UPGPQ4616016	36.20	80.70	82.80	10.00	231.00	33.40
20UPGPQ4616021	31.70	81.20	83.30	11.50	229.00	30.40
20UPGPQ4616024	32.20	81.70	82.80	12.00	229.50	30.90
20UPGPQ4616026	31.20	81.70	82.80	11.00	226.00	29.90
20UPGPQ4616028	31.70	80.70	81.80	12.00	225.00	28.40
20UPGPQ4616030	31.70	79.20	83.80	11.00	226.50	28.90
20UPGPQ4616031	31.20	79.20	84.30	11.00	226.00	28.40
20UPGPQ4616032	29.70	79.20	83.80	12.00	226.50	29.90
20UPGPQ4616034	32.20	78.70	84.30	11.00	231.50	29.90
20UPGPQ4616039	33.20	96.70	84.80	10.50	228.50	30.90
20UPGPQ4616040	33.70	97.70	85.80	10.50	229.00	30.40
20UPGPQ4616043	31.20	99.20	84.80	12.00	229.00	30.40
20UPGPQ4616044	30.70	99.20	85.30	12.50	229.00	31.40
20UPGPQ4616045	33.70	98.20	85.30	12.00	235.50	33.90
20UPGPQ4616046	30.70	96.70	85.80	12.00	230.00	32.40
20UPGPQ4616049	35.20	97.20	84.80	11.50	233.50	30.90
20UPGPQ4616050	32.70	99.20	83.30	12.00	229.00	29.90
20UPGPQ4616051	32.20	97.20	85.30	11.50	228.50	28.90
20UPGPQ4616052	32.20	94.20	86.80	10.50	229.00	27.40
20UPGPQ4616053	35.20	97.70	84.30	12.00	233.00	34.40
20UPGPQ4616054	32.20	94.20	84.80	12.00	230.00	31.90
20UPGPQ4616055	32.20	96.20	85.30	12.00	229.50	30.40
20UPGPQ4616056	32.20	96.70	86.30	11.00	231.00	28.40
20UPGPQ4616057	34.70	99.20	84.30	13.50	238.00	35.90
20UPGPQ4616060	31.70	95.70	85.30	13.00	235.00	31.40
20UPGPQ4616061	32.20	96.20	84.80	13.00	230.50	30.90
20UPGPQ4616063	33.70	97.70	85.30	11.50	229.50	28.40
20UPGPQ4616066	34.20	96.70	85.80	11.50	231.50	30.90
20UPGPQ4616067	32.20	96.70	85.80	11.50	230.00	28.40
20UPGPQ4616068	34.70	96.70	84.80	13.00	234.00	31.40
20UPGPQ4616069	33.70	96.70	85.30	11.50	235.50	32.90
20UPGPQ4616072	34.70	95.70	86.30	11.50	237.50	31.90
20UPGPQ4616074	32.20	96.70	85.30	11.00	229.00	30.90
20UPGPQ4616075	29.20	98.20	86.80	11.00	228.50	28.90
20UPGPQ4616076	32.70	98.70	88.80	11.00	234.50	30.90
20UPGPQ4616077	34.20	97.70	83.80	12.50	234.50	34.90
20UPGPQ4616078	31.20	98.20	86.30	11.00	232.50	32.40
20UPGPQ4616079	29.70	97.70	84.80	12.00	230.50	31.90
20UPGPQ4616080	31.20	97.20	85.30	11.50	230.00	32.40
20UPGPQ4616081	32.70	100.70	84.30	14.50	238.50	35.90
20UPGPQ4616083	31.70	99.20	84.30	13.00	233.00	33.40
20UPGPQ4616084	30.70	99.20	84.80	13.00	234.00	33.40
20UPGPQ4616085	33.20	96.70	85.80	11.00	231.00	29.40
20UPGPQ4616086	32.20	97.70	84.80	12.50	228.50	30.40
20UPGPQ4616087	32.70	99.70	84.80	11.50	228.00	29.40
20UPGPQ4616088	33.70	96.20	85.80	11.00	232.00	29.90
20UPGPQ4616089	33.70	95.70	85.30	11.00	232.00	29.40
20UPGPQ4616090	31.70	99.20	85.80	12.00	230.50	28.90
20UPGPQ4616091	31.20	98.20	86.30	12.00	231.00	28.90
20UPGPQ4616092	32.20	95.70	87.30	11.00	232.50	28.40
20UPGPQ4616093	31.70	96.20	86.30	12.00	230.50	29.90
20UPGPQ4616094	31.70	96.70	86.30	11.00	228.00	28.40
20UPGPQ4616095	32.70	96.70	86.80	11.50	229.50	28.40
20UPGPQ4616097	35.70	97.20	85.80	10.50	234.00	31.40
20UPGPQ4616098	34.20	97.70	85.30	9.50	229.50	29.90
20UPGPQ4616099	32.20	98.20	86.30	10.50	228.50	29.40
20UPGPQ4616100	33.20	96.20	87.30	10.50	230.50	27.40
20UPGPQ4616102	33.20	97.20	85.80	11.00	230.50	29.90
20UPGPQ4616103	32.20	97.70	85.30	11.50	230.50	28.90
20UPGPQ4616104	31.70	98.20	84.80	11.00	228.00	28.40
20UPGPQ4616105	32.70	97.20	86.30	12.00	236.00	33.90
20UPGPQ4616108	32.20	99.20	84.80	12.00	228.00	29.90
20UPGPQ4616109	36.70	97.70	85.80	9.00	231.00	28.90
20UPGPQ4616110	35.70	99.20	84.80	11.00	231.00	29.40
20UPGPQ4616112	37.70	97.70	87.30	10.00	235.50	31.40
20UPGPQ4616113	33.70	97.70	120.30	11.50	266.50	29.40
20UPGPQ4616114	33.70	97.70	85.80	11.50	228.50	27.40
20UPGPQ4616115	31.70	95.70	86.30	11.50	229.50	27.90
20UPGPQ4616117	33.70	98.70	85.80	11.50	229.50	29.90
20UPGPQ4616118	32.70	98.70	85.80	12.00	229.00	28.90
20UPGPQ4616120	33.20	96.70	86.30	12.00	232.00	29.90
20UPGPQ4616121	37.70	96.70	85.30	10.50	234.50	32.90
20UPGPQ4616122	32.70	96.70	85.80	12.00	230.50	29.40
20UPGPQ4616123	33.20	97.20	84.30	12.50	231.00	30.40
20UPGPQ4616125	35.70	97.20	84.30	12.50	235.50	32.90
20UPGPQ4616126	32.70	95.70	84.80	13.00	230.50	30.90
20UPGPQ4616127	33.20	98.70	85.80	12.00	231.50	28.40
20UPGPQ4616128	34.20	96.20	85.30	12.00	230.50	29.40
20UPGPQ4616130	34.20	98.20	85.80	11.50	231.00	28.90
20UPGPQ4616131	33.70	98.70	84.80	13.50	231.50	30.40
20UPGPQ4616132	32.70	96.20	86.30	12.00	231.50	29.40
20UPGPQ4616133	35.20	96.20	85.30	10.50	234.50	32.90
20UPGPQ4616134	34.20	94.70	85.30	11.00	231.00	32.90
20UPGPQ4616135	33.20	96.20	86.30	9.50	231.50	31.40
20UPGPQ4616136	32.70	98.70	84.80	12.50	231.00	32.40
20UPGPQ4616137	36.20	97.20	84.80	10.50	234.50	32.90
20UPGPQ4616138	31.70	95.70	86.30	12.00	230.50	31.40
20UPGPQ4616139	32.20	97.20	85.80	11.50	230.50	30.90
20UPGPQ4616140	32.70	96.20	85.80	11.50	231.00	29.40
20UPGPQ4616141	34.70	98.20	86.30	10.50	234.50	32.90
20UPGPQ4616142	32.20	97.70	85.80	11.00	231.00	30.90
20UPGPQ4616143	32.20	95.70	86.30	11.00	229.50	29.40
20UPGPQ4616144	31.70	98.20	85.80	12.00	228.00	29.90
20UPGPQ4616145	34.70	95.70	85.30	10.00	232.00	31.40
20UPGPQ4616146	32.70	96.20	85.80	10.50	229.00	28.90
20UPGPQ4616150	31.20	95.20	85.30	12.00	228.00	29.90
20UPGPQ4616151	32.20	97.70	85.30	12.50	230.00	29.40
20UPGPQ4616153	32.70	96.70	86.30	11.50	231.50	31.90
20UPGPQ4616154	31.20	98.70	84.80	11.50	227.50	29.40
20UPGPQ4616161	34.20	97.20	85.30	12.00	231.50	29.90
20UPGPQ4616162	31.70	97.20	85.30	11.00	228.00	28.90
20UPGPQ4616163	34.20	98.20	85.80	10.00	229.50	27.90
20UPGPQ4616164	32.70	97.70	85.80	11.00	231.50	29.40
20UPGPQ4616165	32.70	97.20	86.30	11.00	230.00	29.90
20UPGPQ4616166	32.20	99.20	84.80	12.50	228.00	28.90
20UPGPQ4616167	33.20	97.70	85.80	11.00	228.00	28.40
20UPGPQ4616168	33.20	96.70	86.30	10.50	231.00	28.90
20UPGPQ4616169	33.70	99.20	84.30	12.50	231.50	32.90
20UPGPQ4616170	31.20	97.70	86.80	11.50	230.00	28.40
20UPGPQ4616171	33.70	96.20	86.30	10.50	228.00	28.90
20UPGPQ4616172	32.70	96.20	85.80	11.00	228.00	27.90
20UPGPQ4616173	33.70	98.70	84.80	13.00	233.00	32.40
20UPGPQ4616174	32.70	97.70	85.30	11.50	229.50	29.40
20UPGPQ4616175	32.70	96.70	85.80	11.50	228.00	29.40
20UPGPQ4616176	33.20	95.70	85.80	10.50	228.00	28.40
20UPGPQ4616177	34.70	98.20	85.30	12.00	234.50	32.40
20UPGPQ4616178	31.70	94.70	86.30	11.50	229.50	28.90
20UPGPQ4616179	33.20	97.70	95.80	11.00	240.50	30.40
20UPGPQ4616180	31.20	87.20	85.30	11.50	229.00	28.90
20UPGPQ4616182	32.70	97.70	84.80	11.50	229.00	30.40
20UPGPQ4616183	33.20	97.70	86.30	10.50	229.50	28.90
20UPGPQ4616187	32.70	96.70	86.80	12.00	233.00	29.90
20UPGPQ4616188	33.20	96.70	85.80	11.50	234.00	31.40
20UPGPQ4616192	35.70	97.70	88.80	12.00	241.00	31.90
20UPGPQ4616193	34.70	96.20	85.30	11.50	235.50	31.40
20UPGPQ4616195	31.70	95.70	85.30	11.50	228.50	28.90
20UPGPQ4616198	32.20	96.70	86.30	12.00	233.50	29.90
20UPGPQ4616201	33.70	96.70	86.80	12.00	237.50	33.90
20UPGPQ4616202	32.70	95.20	87.80	10.00	237.00	30.90
20UPGPQ4616205	33.20	96.70	85.80	11.00	230.50	29.40
20UPGPQ4616206	32.20	95.20	86.30	11.00	230.00	28.90
20UPGPQ4616207	31.20	96.70	86.80	11.50	228.50	28.40
20UPGPQ4616208	34.20	97.20	85.80	10.50	232.50	30.90
20UPGPQ4616209	31.20	97.20	85.80	11.50	230.00	30.40
20UPGPQ4616210	33.20	98.20	85.80	10.00	229.50	29.90
20UPGPQ4616211	30.70	97.20	85.80	12.00	229.50	30.90
20UPGPQ4616213	33.20	96.20	86.30	11.00	231.50	31.90
20UPGPQ4616215	31.70	96.70	85.80	12.50	232.00	30.40
20UPGPQ4616216	33.70	97.70	85.80	12.00	234.00	32.40
20UPGPQ4616217	33.70	97.70	85.30	11.50	230.50	30.90
20UPGPQ4616218	32.70	95.20	85.30	11.00	228.50	28.40
20UPGPQ4616219	31.70	96.70	89.30	11.50	231.50	27.40
20UPGPQ4616220	32.20	93.70	86.80	10.50	231.50	27.40
20UPGPQ4616221	32.20	96.70	86.80	11.50	233.50	30.40
20UPGPQ4616222	31.70	96.20	85.30	11.50	230.00	30.40
20UPGPQ4616223	31.70	96.20	85.30	12.00	230.50	29.90
20UPGPQ4616224	32.70	95.70	85.80	12.00	232.50	30.90
20UPGPQ4616225	33.70	99.20	85.30	13.00	236.00	33.40
20UPGPQ4616226	32.70	96.70	85.30	12.00	233.00	31.40
20UPGPQ4616227	32.70	97.70	84.80	12.50	234.00	32.90
20UPGPQ4616228	35.20	95.70	85.30	12.00	237.00	33.40
20UPGPQ4616229	34.70	97.70	85.30	12.50	235.50	31.90
20UPGPQ4616230	33.20	96.70	85.30	11.00	230.50	29.40
20UPGPQ4616231	31.70	98.70	85.30	12.00	228.50	29.90
20UPGPQ4616233	35.20	97.20	86.80	11.00	235.00	32.40
20UPGPQ4616235	32.20	97.20	85.80	12.00	230.50	29.90
20UPGPQ4616236	31.70	96.20	85.80	11.50	231.50	29.90
20UPGPQ4616237	35.20	97.70	86.80	11.50	238.50	32.40
20UPGPQ4616238	33.70	96.70	87.30	10.50	235.50	30.90
20UPGPQ4616239	32.20	96.70	85.80	11.50	233.00	30.40
20UPGPQ4616240	34.20	95.70	86.30	10.50	233.00	29.90
20UPGPQ4616241	32.20	98.20	85.80	10.50	230.00	29.90
20UPGPQ4616242	31.20	98.70	85.30	12.00	230.00	30.40
20UPGPQ4616243	31.70	97.20	84.80	12.50	230.00	29.90
20UPGPQ4616245	33.20	95.70	87.30	10.00	232.50	30.90
20UPGPQ4616246	31.20	97.70	86.30	11.50	234.00	31.40
20UPGPQ4616248	31.70	88.70	91.80	11.00	238.50	31.90
20UPGPQ4616249	33.70	88.70	85.80	10.50	233.00	32.40
20UPGPQ4616250	32.70	89.20	85.30	11.50	233.50	32.90
20UPGPQ4617013	30.70	79.20	83.80	13.50	229.00	29.90
20UPGPQ4617015	31.20	80.70	84.30	12.00	227.50	27.40
20UPGPQ4617016	34.20	81.20	83.80	12.00	229.00	28.90
20UPGPQ4617017	30.70	79.70	84.30	12.50	229.50	30.40
20UPGPQ4617021	32.70	79.70	84.30	11.50	231.00	30.40
20UPGPQ4617022	32.70	82.70	82.30	12.00	229.50	30.90
20UPGPQ4617023	34.20	81.20	83.30	10.50	230.00	29.90
20UPGPQ4617024	33.70	81.70	83.80	11.00	232.50	28.90
20UPGPQ4617025	33.20	81.70	82.80	12.50	232.00	32.40
20UPGPQ4617026	31.20	81.20	83.30	13.50	228.00	31.90
20UPGPQ4617028	34.20	88.20	85.80	11.50	230.50	30.90
20UPGPQ4617030	32.20	88.70	84.80	12.00	227.50	29.90
20UPGPQ4617032	31.20	89.20	86.30	11.00	228.00	26.40
20UPGPQ4617033	33.20	87.70	85.30	12.00	232.00	32.40
20UPGPQ4617034	32.20	90.70	83.80	13.00	227.00	31.40
20UPGPQ4617035	32.20	88.20	85.80	11.00	227.50	27.90
20UPGPQ4617036	31.70	87.20	86.30	10.50	227.00	27.90
20UPGPQ4617038	30.70	88.70	85.80	11.50	230.50	29.40
20UPGPQ4617039	30.70	87.20	84.80	12.00	229.00	30.40
20UPGPQ4617041	33.70	87.20	85.30	11.00	232.50	32.90
20UPGPQ4617042	32.70	88.20	85.80	10.50	230.00	30.90
20UPGPQ4617047	33.70	87.20	84.80	11.50	233.50	32.40
20UPGPQ4617050	32.20	88.20	83.30	12.00	228.50	29.40
20UPGPQ4617051	33.70	87.20	85.80	9.50	229.00	27.90
20UPGPQ4617053	33.70	87.70	84.80	12.00	234.50	33.40
20UPGPQ4617054	32.70	86.20	83.80	12.00	230.00	30.40
20UPGPQ4617056	35.20	86.20	85.30	11.50	236.00	32.40
20UPGPQ4617058	36.20	86.70	83.80	11.00	235.00	32.90
20UPGPQ4617059	35.70	90.20	82.30	12.50	234.50	32.90
20UPGPQ4617061	33.70	89.20	84.80	12.00	234.00	31.90
20UPGPQ4617062	31.70	88.70	85.30	10.50	228.50	28.90
20UPGPQ4617063	30.20	87.70	83.80	12.50	228.50	28.40
20UPGPQ4617064	29.70	87.20	83.80	12.50	227.50	26.90
20UPGPQ4617065	32.70	86.20	84.80	13.00	233.00	33.40
20UPGPQ4617066	28.20	87.70	84.80	12.00	229.00	30.40
20UPGPQ4617067	30.70	89.20	84.80	11.50	229.00	29.40
20UPGPQ4617069	32.20	87.70	83.80	13.00	236.00	34.40
20UPGPQ4617072	30.70	88.70	84.80	11.50	231.50	31.40
20UPGPQ4617075	30.20	89.20	84.30	12.00	225.50	28.90
20UPGPQ4617078	30.70	87.20	85.80	11.00	227.50	29.90
20UPGPQ4617079	30.20	89.20	84.80	11.50	226.00	29.40
20UPGPQ4617080	30.20	87.20	86.30	10.50	228.00	27.40
20UPGPQ4617082	30.20	87.20	85.30	11.50	230.00	29.40
20UPGPQ4617084	30.70	87.70	85.30	12.00	228.50	29.40
20UPGPQ4617086	31.70	90.20	83.80	12.00	229.50	31.90
20UPGPQ4617087	30.20	88.70	85.30	12.00	230.50	30.90
20UPGPQ4617088	31.20	88.20	84.80	12.00	233.50	33.40
