SERIALNUMBER	BOTTOM	COVERLAY	DIELECTRIC	INNER	ALL
20UPGPQ4610113	33.70	86.70	84.80	12.00	230.50	32.90
20UPGPQ4610114	31.70	86.20	84.80	13.00	227.50	30.90
20UPGPQ4610115	33.20	86.20	86.30	10.00	227.50	32.40
20UPGPQ4610116	33.20	86.70	83.80	12.50	227.00	31.40
20UPGPQ4610117	33.20	87.20	84.30	12.00	230.00	32.90
20UPGPQ4610118	32.70	87.70	85.80	11.50	229.00	30.40
20UPGPQ4610119	31.70	85.70	85.30	12.00	225.00	29.90
20UPGPQ4610120	31.20	86.70	84.80	12.00	226.50	30.40
20UPGPQ4610121	34.20	86.20	85.30	12.00	235.00	35.90
20UPGPQ4610122	34.20	87.20	84.30	12.50	232.50	36.40
20UPGPQ4610123	32.70	88.20	85.30	12.00	232.00	34.40
20UPGPQ4610124	31.70	86.20	85.80	12.00	232.00	33.40
20UPGPQ4610125	33.70	88.70	84.30	13.00	233.50	35.40
20UPGPQ4610126	33.20	86.70	83.80	12.00	229.50	34.40
20UPGPQ4610127	32.20	87.70	84.80	12.50	230.00	33.40
20UPGPQ4610128	32.70	83.20	85.30	12.50	230.50	32.90
20UPGPQ4610129	34.20	84.20	86.30	11.00	234.00	33.90
20UPGPQ4610130	32.20	83.70	83.80	13.00	228.50	34.40
20UPGPQ4610131	32.70	85.20	84.80	12.00	228.00	31.40
20UPGPQ4610132	31.70	85.20	85.80	11.50	228.00	30.90
20UPGPQ4610133	32.20	85.20	84.80	10.50	229.00	30.40
20UPGPQ4610134	31.70	86.20	84.30	11.00	225.50	28.90
20UPGPQ4610135	30.20	85.70	83.30	12.00	226.00	30.40
20UPGPQ4610136	32.20	86.20	83.80	12.00	228.00	31.90
20UPGPQ4610137	33.20	87.20	83.30	12.50	229.00	34.90
20UPGPQ4610138	31.70	87.20	84.80	11.00	226.50	31.40
20UPGPQ4610139	31.70	84.20	85.30	10.50	227.50	30.40
20UPGPQ4610140	32.70	87.70	84.80	12.00	229.50	33.40
20UPGPQ4610142	32.20	86.20	85.30	11.50	231.50	32.40
20UPGPQ4610143	32.70	85.70	84.30	12.00	231.00	32.40
20UPGPQ4610144	33.70	88.70	84.80	11.50	232.00	33.40
20UPGPQ4610145	32.70	87.70	85.80	11.50	231.00	33.90
20UPGPQ4610146	31.70	70.70	84.80	10.00	227.00	30.40
20UPGPQ4610147	29.70	73.20	83.30	12.00	224.50	30.90
20UPGPQ4610148	29.70	73.20	83.30	12.00	224.50	30.90
20UPGPQ4610149	34.20	74.20	84.30	11.00	230.00	33.40
20UPGPQ4610150	31.70	74.20	85.30	10.50	227.50	32.90
20UPGPQ4610151	30.70	76.20	83.80	11.50	229.50	33.40
20UPGPQ4610152	31.20	74.70	83.30	12.00	227.50	32.40
20UPGPQ4610153	34.20	75.70	84.30	11.00	233.00	34.90
20UPGPQ4610154	31.70	74.70	84.30	12.00	231.50	33.90
20UPGPQ4610155	32.20	74.20	84.80	11.00	230.50	32.90
20UPGPQ4610156	32.20	75.20	83.80	11.50	230.00	32.90
20UPGPQ4610157	32.20	76.20	84.30	12.00	229.50	31.40
20UPGPQ4610158	32.70	76.20	84.30	11.00	225.00	29.40
20UPGPQ4610159	31.70	78.20	82.30	12.50	224.00	31.40
20UPGPQ4610160	31.70	75.70	82.80	12.00	225.50	30.40
20UPGPQ4610161	33.20	76.70	82.80	12.50	230.50	33.90
20UPGPQ4610162	33.70	78.20	84.30	10.50	226.50	31.40
20UPGPQ4610163	33.20	77.70	84.30	10.50	226.50	29.90
20UPGPQ4610165	36.70	77.70	83.80	10.50	233.00	33.90
20UPGPQ4610166	33.20	77.20	84.30	10.50	230.00	32.40
